Kilometrage_parcourus,Sexe,Carburant,Zone,Exposition,age_du_conducteur,age_du_vehicule,ancienpermis,nbre_sinistre,charge_totale
1052,Women,essence,Casablanca-Settat,0.9352,47.85,11.8,6.27,0,0
8528,Women,essence,Tanger-Tetouan-AlHoceima,0.425,54.15,8.08,35.59,0,0
4644,Man,essence,Casablanca-Settat,0.0952,61.44,3.76,6.02,0,0
960,Women,essence,Marrakech-Safi,0.0756,45.29,10.67,15.97,0,0
6376,Women,essence,Casablanca-Settat,0.1166,65.31,17.28,39.8,0,0
7386,Man,essence,Tanger-Tetouan-AlHoceima,0.5385,53.98,12.08,16.12,0,0
619,Women,essence,Tanger-Tetouan-AlHoceima,0.064,48.26,21.63,27.02,0,0
6416,Man,diesel,Tanger-Tetouan-AlHoceima,0.1155,30.69,13.88,0.74,0,0
9613,Man,essence,Tanger-Tetouan-AlHoceima,0.2767,59.1,13.84,25.56,0,0
5033,Women,essence,Casablanca-Settat,0.055,26.7,15.39,3.64,0,0
1280,Man,diesel,Tanger-Tetouan-AlHoceima,0.9963,66.86,11.24,5.33,0,0
8242,Man,diesel,Marrakech-Safi,0.4765,36.42,21.16,4.3,0,0
7200,Man,diesel,Marrakech-Safi,0.5215,61.88,19.88,8.57,0,0
5545,Women,essence,Casablanca-Settat,0.7734,58.98,13.82,22.11,2,5337.48
6505,Women,essence,Casablanca-Settat,0.9944,61.43,10.09,33.14,0,0
2245,Women,essence,Marrakech-Safi,0.0398,55.85,9.21,25.4,0,0
1821,Women,diesel,BeniMellal-Khenifra,0.6839,28.62,17.36,9.68,1,1913.44
9083,Man,essence,Tanger-Tetouan-AlHoceima,0.9756,49.5,6.19,24.23,2,7279.59
1341,Man,diesel,Casablanca-Settat,0.2074,65.01,10.61,19.7,0,0
834,Women,essence,Marrakech-Safi,0.9988,51.58,5.58,0.14,3,5426.54
5122,Women,diesel,Marrakech-Safi,0.6893,49.03,11.23,9.47,1,3728.03
5189,Women,essence,Guelmim,0.5178,21.39,19.72,0.62,0,0
7864,Women,diesel,Rabat-Sale-Kenitra,0.4518,66.29,8.98,33.15,0,0
2002,Man,essence,Rabat-Sale-Kenitra,0.4613,44.24,13.1,13.29,0,0
2781,Women,essence,Casablanca-Settat,0.7891,44.42,6.17,5.41,0,0
5879,Man,diesel,Marrakech-Safi,0.8456,47.36,13.1,15.18,1,4196.13
482,Women,essence,Tanger-Tetouan-AlHoceima,0.5834,37.23,8.76,6.03,0,0
9630,Women,essence,Marrakech-Safi,0.8982,40.75,16.5,2.72,2,2741.03
4649,Women,essence,Casablanca-Settat,0.6595,56.08,17.83,27.49,0,0
8603,Man,diesel,Marrakech-Safi,0.5094,36.69,16.09,15.32,1,2427.3
8100,Women,essence,Marrakech-Safi,0.1159,54.92,9.95,9.74,0,0
1912,Women,diesel,Marrakech-Safi,0.2359,20.72,12.6,2.12,0,0
9043,Women,diesel,Tanger-Tetouan-AlHoceima,0.6255,24.95,7.08,4.47,0,0
374,Women,diesel,Tanger-Tetouan-AlHoceima,0.2733,53.62,10.38,21.2,0,0
172,Women,diesel,Oriental,0.2117,38.31,14.23,6.34,0,0
3544,Women,diesel,Tanger-Tetouan-AlHoceima,0.8228,21.34,18.95,2.66,0,0
2998,Man,essence,Tanger-Tetouan-AlHoceima,0.1946,59.8,7.76,9.95,0,0
6672,Women,diesel,Marrakech-Safi,0.977,37.37,15.33,2.09,0,0
210,Women,diesel,Tanger-Tetouan-AlHoceima,0.3765,65.9,4.3,6.35,0,0
2644,Man,diesel,Tanger-Tetouan-AlHoceima,0.1437,23.65,3.92,2.37,0,0
3659,Man,diesel,Marrakech-Safi,0.868,46.53,10.6,6.35,0,0
97,Man,diesel,Casablanca-Settat,0.5831,38.06,10.21,15.44,1,2843.75
966,Women,diesel,Draa-Tafilalet,0.5392,68.04,16.19,22,1,1375.62
4113,Women,diesel,Casablanca-Settat,0.1204,32.37,11.74,7.82,0,0
7603,Women,essence,Marrakech-Safi,0.3812,42.72,16.01,19.13,0,0
8727,Women,diesel,Casablanca-Settat,0.971,45.22,7.9,5.08,2,4529.32
8113,Women,diesel,Casablanca-Settat,0.3393,69.07,17.77,9.26,1,3338.32
703,Man,essence,Tanger-Tetouan-AlHoceima,0.577,39.13,6.57,18.3,0,0
2674,Women,diesel,Casablanca-Settat,0.7484,45.83,7.99,5.47,0,0
1866,Man,essence,Rabat-Sale-Kenitra,0.5212,53.45,13.36,30.53,0,0
3326,Women,diesel,Dakhla-OuedEddahab,0.047,24.9,6.11,2.18,0,0
4797,Man,diesel,Casablanca-Settat,0.9698,21.99,16.94,2.77,0,0
8375,Man,essence,BeniMellal-Khenifra,0.838,53,13.72,12.89,1,1650.55
1079,Women,essence,Tanger-Tetouan-AlHoceima,0.0403,28.03,19.93,1.53,0,0
8558,Women,essence,Casablanca-Settat,0.9025,69.52,9.71,37.1,1,1739.31
3552,Man,diesel,Tanger-Tetouan-AlHoceima,0.9326,47.44,18.43,3.3,2,7768.96
5401,Man,essence,BeniMellal-Khenifra,0.4405,67.84,9.92,25.86,3,7424.07
3278,Man,diesel,Casablanca-Settat,0.597,60.73,10.01,12.97,1,2651.57
2348,Women,essence,Casablanca-Settat,0.4652,49.89,13.07,24.46,0,0
8604,Man,essence,Rabat-Sale-Kenitra,0.9382,26.12,17.01,4.63,1,4136.73
3694,Man,diesel,BeniMellal-Khenifra,0.9932,61.23,6.95,16.96,0,0
2873,Women,diesel,Casablanca-Settat,0.9196,46.26,8.21,1.89,1,2039.06
9237,Man,essence,Casablanca-Settat,0.4312,37.8,5.62,16.24,0,0
1295,Women,diesel,Laayoune-SakiaElHamra,0.1018,59.89,6.72,33.66,1,1862.34
4390,Man,diesel,Fes-Meknes,0.8207,41.89,4.19,3.39,3,9660.29
9355,Man,essence,Casablanca-Settat,0.6454,30.52,15.15,3.19,0,0
7650,Man,essence,Oriental,0.1858,29.21,4.63,10.06,0,0
3502,Women,diesel,Dakhla-OuedEddahab,0.2379,54.44,15.62,20.48,0,0
5518,Women,diesel,Tanger-Tetouan-AlHoceima,0.2035,50.21,8.91,5.89,0,0
6695,Man,essence,Casablanca-Settat,0.1788,40.05,5.45,0.72,0,0
8261,Women,essence,Casablanca-Settat,0.7906,61.04,10.41,34.74,0,0
7894,Man,diesel,Casablanca-Settat,0.903,44.78,20.7,15.57,0,0
3017,Man,essence,Casablanca-Settat,0.353,23.72,12.63,3.77,1,1281.59
4420,Women,diesel,Tanger-Tetouan-AlHoceima,0.8129,20.77,17.45,2.08,0,0
7191,Man,diesel,Casablanca-Settat,0.113,24.82,6.29,0.51,0,0
5739,Women,diesel,Rabat-Sale-Kenitra,0.3776,42.44,9.04,7.26,0,0
133,Man,essence,BeniMellal-Khenifra,0.8577,65.47,21.08,36.65,1,3551.45
8304,Women,diesel,Casablanca-Settat,0.239,37.9,13.25,9.3,0,0
5003,Women,diesel,Souss-Massa,0.6133,53.56,19.21,3.42,0,0
2903,Women,diesel,Casablanca-Settat,0.844,32.87,11.11,4.67,1,394.83
413,Man,essence,Dakhla-OuedEddahab,0.9409,45.78,19.95,25.45,0,0
6252,Man,diesel,Marrakech-Safi,0.2358,38.88,19.51,14.34,1,4686.71
5474,Man,diesel,Casablanca-Settat,0.2023,37.27,11.93,0.65,0,0
5350,Women,essence,Marrakech-Safi,0.205,61.73,7.11,29.17,1,1529.38
8092,Man,diesel,Marrakech-Safi,0.2445,39.58,14.16,19.54,1,2060.23
4287,Women,essence,Marrakech-Safi,0.9683,27.73,6.35,6.34,1,2114.2
6440,Women,diesel,Marrakech-Safi,0.4426,65.12,16.76,41.17,0,0
7414,Man,diesel,Guelmim,0.8164,66.83,12.64,3.98,1,3847.74
508,Women,essence,Laayoune-SakiaElHamra,0.467,69.08,7.16,1.38,0,0
3237,Man,diesel,Casablanca-Settat,0.056,39.7,15.11,15.51,0,0
4717,Women,essence,Tanger-Tetouan-AlHoceima,0.9833,23.23,10.83,1.16,4,5585.85
3017,Women,diesel,Marrakech-Safi,0.3294,42.98,10.28,12.52,0,0
5507,Man,diesel,Casablanca-Settat,0.1524,55.38,6.04,35.47,0,0
3233,Women,diesel,Casablanca-Settat,0.0382,28.35,7.83,5.27,0,0
3395,Man,diesel,Tanger-Tetouan-AlHoceima,0.2621,41.33,8.85,19.52,0,0
3256,Man,diesel,Casablanca-Settat,0.5411,47.86,15.01,2.65,0,0
9684,Man,diesel,Marrakech-Safi,0.8417,44.65,5.42,7.06,1,5035.82
3815,Women,essence,Tanger-Tetouan-AlHoceima,0.9249,48.02,11.73,26.87,1,2154.06
5450,Women,essence,Marrakech-Safi,0.8441,42.01,10.4,15.97,2,4749.21
7481,Women,essence,Casablanca-Settat,0.8214,58.78,12.94,33.4,4,8224.23
2807,Women,diesel,Casablanca-Settat,0.0111,49.84,17.22,9.69,0,0
9543,Women,diesel,Casablanca-Settat,0.8199,26.53,8.63,3.82,1,1032.64
3407,Women,diesel,Souss-Massa,0.4219,36.39,12.77,2.4,0,0
2379,Man,essence,Tanger-Tetouan-AlHoceima,0.4926,53.96,19.29,12.15,1,876.01
9797,Women,essence,Casablanca-Settat,0.8758,60.5,17.86,13.03,1,3993.23
2336,Women,diesel,Tanger-Tetouan-AlHoceima,0.2089,55.52,7.22,12.7,0,0
1712,Women,essence,Casablanca-Settat,0.2573,54.79,9.04,22.67,0,0
2059,Women,diesel,Casablanca-Settat,0.2406,31.98,9.69,5.43,0,0
9939,Women,essence,Tanger-Tetouan-AlHoceima,0.6703,21.74,11.86,2.51,0,0
7280,Man,diesel,Marrakech-Safi,0.3516,64.61,6.48,8.01,0,0
605,Women,diesel,Laayoune-SakiaElHamra,0.1994,42.92,22.66,22.33,0,0
5745,Man,diesel,Marrakech-Safi,0.67,68.27,10.23,36.87,0,0
1200,Women,diesel,Casablanca-Settat,0.8032,68.75,19.62,21.3,2,4648.84
3518,Women,diesel,Casablanca-Settat,0.259,38.24,7.72,1.98,0,0
5011,Man,diesel,Tanger-Tetouan-AlHoceima,0.8783,33.72,1.67,5.55,0,0
5963,Man,essence,Dakhla-OuedEddahab,0.3594,58.59,11.05,13.14,0,0
4664,Man,diesel,Guelmim,0.4843,66.53,16.18,33.88,1,1807.97
7301,Man,diesel,Tanger-Tetouan-AlHoceima,0.2754,54.68,3.19,26.65,0,0
5489,Women,diesel,Marrakech-Safi,0.5287,62,7.32,8.59,2,4389.57
4476,Man,diesel,Fes-Meknes,0.4966,33.12,7.03,0.11,1,1538.43
4736,Man,diesel,Casablanca-Settat,0.2464,36.98,5.18,14.22,0,0
7864,Women,diesel,Tanger-Tetouan-AlHoceima,0.7024,35.68,15.33,3.84,1,1306.22
2689,Women,diesel,Casablanca-Settat,0.9975,41.04,9.89,11.07,0,0
2421,Women,diesel,Casablanca-Settat,0.7831,44.73,11.41,4.9,2,3956.39
6299,Man,diesel,Guelmim,0.0545,63.8,14.4,40.56,0,0
137,Man,essence,Tanger-Tetouan-AlHoceima,0.7608,60.85,14.28,36.54,0,0
9201,Women,essence,Marrakech-Safi,0.8869,59.2,10.66,29.59,1,2160
8626,Man,essence,Casablanca-Settat,0.5911,36.11,19.31,10.83,1,2506.89
3852,Women,diesel,Casablanca-Settat,0.5957,47.38,11.2,22.92,2,3449.47
764,Man,diesel,Tanger-Tetouan-AlHoceima,0.2206,61.52,9.93,32.66,1,1813.13
1907,Man,diesel,Casablanca-Settat,0.8962,39.54,17.88,10.98,0,0
4616,Women,diesel,Tanger-Tetouan-AlHoceima,0.4937,48.6,11.22,24.86,2,4649.63
2362,Women,diesel,Oriental,0.5925,50.42,9.54,29.36,0,0
9033,Man,diesel,Casablanca-Settat,0.4611,43.04,6.6,9.2,0,0
9432,Man,diesel,Draa-Tafilalet,0.6701,30.04,7.83,10.13,0,0
1392,Man,essence,Casablanca-Settat,0.7312,72.87,6.43,40.51,0,0
8231,Women,essence,Casablanca-Settat,0.3547,41.59,1.72,6.25,1,578.43
8353,Women,diesel,Casablanca-Settat,0.5426,46.17,7.56,5.98,0,0
6113,Women,essence,Casablanca-Settat,0.5834,59.98,8.55,27.44,1,2524.99
4790,Women,essence,Tanger-Tetouan-AlHoceima,0.0632,48.38,9.07,16.75,0,0
9371,Man,diesel,Casablanca-Settat,0.5202,35.62,11.11,15.24,0,0
7424,Women,essence,Draa-Tafilalet,0.927,40.11,9.74,19.29,1,1149.24
6968,Man,diesel,Marrakech-Safi,0.7554,61.43,3,23.57,2,5861.38
5843,Women,diesel,Casablanca-Settat,0.902,51.81,19.8,11.98,2,2100.84
8424,Women,diesel,Marrakech-Safi,0.547,27.36,4.1,4.6,1,1071.47
9769,Man,diesel,Tanger-Tetouan-AlHoceima,0.025,56.8,15.45,6.96,0,0
696,Man,diesel,Casablanca-Settat,0.5039,26.3,11.98,4.73,2,7080.99
3773,Man,diesel,Casablanca-Settat,0.711,71.27,17.77,8.04,0,0
7655,Women,essence,Tanger-Tetouan-AlHoceima,0.2683,57.8,20.97,24.27,0,0
8171,Women,essence,Casablanca-Settat,0.2402,40.08,3.17,11.38,0,0
4639,Women,diesel,Marrakech-Safi,0.3127,26.87,13.42,8.16,0,0
1102,Man,essence,Draa-Tafilalet,0.524,30.12,6.33,8.44,0,0
425,Women,diesel,Marrakech-Safi,0.5364,58.39,11.42,22.03,0,0
8113,Women,essence,Tanger-Tetouan-AlHoceima,0.1537,56.8,6.87,34.53,0,0
7906,Man,diesel,Marrakech-Safi,0.5813,67.53,17.27,6.95,0,0
8980,Man,diesel,Marrakech-Safi,0.4302,66.4,18.56,45.39,0,0
9734,Man,essence,Tanger-Tetouan-AlHoceima,0.6432,20.97,5.82,2.21,2,4479.44
512,Women,essence,Casablanca-Settat,0.2177,62.87,11.93,4.07,0,0
1263,Man,essence,Casablanca-Settat,0.1915,61.07,9.36,7.55,0,0
7862,Women,diesel,Marrakech-Safi,0.3693,65.51,15.68,19.59,0,0
382,Women,essence,Casablanca-Settat,0.5858,37.86,18.58,16.59,1,2258.69
9628,Women,essence,Rabat-Sale-Kenitra,0.4468,21.68,7.49,3.16,1,676.87
438,Man,diesel,Marrakech-Safi,0.1355,36,21.77,9.31,0,0
3710,Women,diesel,Casablanca-Settat,0.8448,49.09,8.2,5.52,0,0
2408,Man,diesel,Marrakech-Safi,0.8357,43.55,11.91,18.45,0,0
9439,Women,diesel,Marrakech-Safi,0.8147,66.48,14.56,34.11,1,4190.64
5717,Man,essence,Casablanca-Settat,0.2261,62.98,11.62,10.87,0,0
9576,Women,diesel,Casablanca-Settat,0.177,23.65,4.12,3.91,0,0
7082,Women,diesel,Casablanca-Settat,0.239,20.01,9.14,0.46,0,0
993,Women,essence,Casablanca-Settat,0.8798,33.34,19.91,14.06,1,988.47
8028,Women,essence,Tanger-Tetouan-AlHoceima,0.1564,40.52,2.36,22.38,0,0
1646,Man,diesel,Oriental,0.117,27.88,10.24,0.28,0,0
2898,Man,diesel,Oriental,0.3675,38.08,1.73,18.55,0,0
1183,Man,diesel,Marrakech-Safi,0.4675,24.61,13.11,5.77,0,0
7229,Man,diesel,Draa-Tafilalet,0.6403,22.61,17.11,2.53,1,2057.65
5102,Man,essence,Tanger-Tetouan-AlHoceima,0.5231,56.75,7.96,29.16,1,3303.6
8786,Women,diesel,Casablanca-Settat,0.1716,32.31,4.29,1.17,0,0
7364,Man,diesel,Laayoune-SakiaElHamra,0.841,53.28,13.62,25.55,3,11094.13
3958,Man,essence,Rabat-Sale-Kenitra,0.9872,31.63,12.04,10.97,0,0
8148,Man,diesel,Casablanca-Settat,0.1261,44.52,7.9,7.87,0,0
9537,Women,essence,Marrakech-Safi,0.7718,54.89,18.72,36.58,1,681.4
6595,Man,diesel,Rabat-Sale-Kenitra,0.6565,41.07,13.17,0.66,1,1624.98
2832,Women,diesel,Marrakech-Safi,0.9606,31.62,9.38,5.85,0,0
7616,Women,essence,Tanger-Tetouan-AlHoceima,0.1271,44,15.32,20.05,0,0
3535,Man,essence,Marrakech-Safi,0.7352,49.99,14.51,11.69,0,0
7930,Man,diesel,Marrakech-Safi,0.9812,38.11,11.89,1.96,1,4722.51
1497,Women,essence,Marrakech-Safi,0.5867,47.72,21.46,5.45,0,0
5008,Women,diesel,Tanger-Tetouan-AlHoceima,0.0192,35.61,3.28,2.58,0,0
9239,Women,essence,Laayoune-SakiaElHamra,0.5298,33.8,12.39,13.99,0,0
2815,Man,diesel,Tanger-Tetouan-AlHoceima,0.8539,52,5.08,7.42,2,8576.25
2794,Man,diesel,Tanger-Tetouan-AlHoceima,0.1619,48.91,16.89,10.22,1,2364.75
7603,Women,essence,Marrakech-Safi,0.8094,63.34,17.25,12.88,2,2947.87
8013,Man,essence,Souss-Massa,0.2581,28.06,10.38,4.08,1,7865.23
6021,Man,diesel,BeniMellal-Khenifra,0.2988,68.78,20.65,10.87,1,1366.13
3435,Women,diesel,Casablanca-Settat,0.4429,23.89,15.43,0.28,0,0
9857,Women,diesel,Marrakech-Safi,0.5182,49.87,8.73,15.07,0,0
8750,Women,essence,Marrakech-Safi,0.0926,60.26,7.39,9.54,0,0
3999,Women,essence,Casablanca-Settat,0.5985,66.15,12.72,44.57,0,0
7934,Women,essence,Casablanca-Settat,0.8737,67.19,11.52,11.8,2,1793.91
7599,Man,essence,Tanger-Tetouan-AlHoceima,0.7703,37.27,9.98,15.26,0,0
5842,Women,diesel,Marrakech-Safi,0.4644,43.84,12.74,19.03,0,0
1152,Women,diesel,Casablanca-Settat,0.8235,22.78,19.22,1.62,2,5104.91
5805,Women,diesel,Marrakech-Safi,0.6822,69.2,12.26,6.14,1,3015.45
5893,Women,essence,Tanger-Tetouan-AlHoceima,0.5737,25.85,15.52,2.76,2,4277.17
7156,Women,essence,Casablanca-Settat,0.2831,40.28,19.22,1.33,1,1493
1505,Man,essence,Rabat-Sale-Kenitra,0.786,42.64,15.96,5.6,1,2854.87
6211,Man,essence,Marrakech-Safi,0.5842,38.37,10.35,17.57,1,2331.87
4694,Women,diesel,Casablanca-Settat,0.7525,34.92,5.24,8.13,0,0
91,Women,essence,Guelmim,0.3669,49.56,22.25,0.41,0,0
4896,Man,diesel,Tanger-Tetouan-AlHoceima,0.3283,53.3,11.37,7.23,1,1580.96
9244,Women,diesel,Casablanca-Settat,0.2628,33.57,7.76,3.13,0,0
583,Women,diesel,Marrakech-Safi,0.1241,40.27,17.16,10.48,0,0
4180,Women,essence,Laayoune-SakiaElHamra,0.5531,29.91,18.02,8.9,1,2716.31
1177,Women,essence,Marrakech-Safi,0.3923,22.56,18.48,0.81,0,0
7073,Man,diesel,Tanger-Tetouan-AlHoceima,0.4089,39.76,17.07,12.44,1,4500.12
8891,Women,essence,Casablanca-Settat,0.4114,28.93,7.01,0.84,0,0
5851,Women,essence,Casablanca-Settat,0.4274,57.52,8.08,30.89,1,2354.11
3678,Women,diesel,Casablanca-Settat,0.7159,34.49,21.12,10.44,4,6755.5
794,Women,essence,Casablanca-Settat,0.5831,39.88,10.7,5.38,0,0
2251,Women,essence,Casablanca-Settat,0.8819,66.57,12.83,35.54,0,0
3696,Women,diesel,Casablanca-Settat,0.1625,46.49,16.84,17.64,1,3060.16
5753,Man,diesel,Casablanca-Settat,0.591,64.16,15.33,44.02,1,4366.58
1391,Women,essence,Tanger-Tetouan-AlHoceima,0.7599,56.08,4.61,37.5,0,0
